Year Accidents Del1 Deaths Del2 Injuries Del4
1995 56904 100.0 6900 100.0 70226 100.0
1996 57911 101.8 6359 92.2 71419 101.7
1997 66586 117.0 7311 105.9 83162 118.4
1998 61855 108.7 7080 102.6 77560 110.4
1999 55106 96.8 6730 97.5 68449 97.5
2000 57331 100.8 6294 91.2 71638 102.0
2001 53799 94.5 5534 80.2 68194 97.1
2002 53559 94.1 5827 84.4 67498 96.1
2003 51078 89.8 5640 81.7 63900 91.0
2004 51069 89.7 5712 82.8 64661 92.1
2005 48100 94.2 5444 95.3 61191 94.6
2006 46876 91.8 5243 91.8 59123 91.4
2007 49536 97.0 5583 97.7 63224 97.8
2008 49054 96.1 5437 95.2 62097 96.0
2009 44196 86.5 4572 80.0 56046 86.7
2010 38832 76.0 3907 68.4 48952 75.7
2011 40065 78.5 4189 73.3 49501 76.6
2012 37046 72.5 3571 62.5 45792 70.8
2013 35847 70.2 3357 58.8 44059 68.1
2014 34970 70.6 3202 57.4 42545 67.3
2015 32967 66.5 2938 52.6 39778 62.9
